date,close,airline,ticker,daily_return_pct,normalised_price,volatility_30d,year,month,year_month
2015-01-02,10.897784233093262,Cathay Pacific,0293.HK,,100.0,,2015,1,2015-01
2015-01-05,10.536243438720703,Cathay Pacific,0293.HK,-3.3175624203924725,96.68243757960752,,2015,1,2015-01
2015-01-06,10.549158096313477,Cathay Pacific,0293.HK,0.12257364465699805,96.80094476709206,,2015,1,2015-01
2015-01-07,10.949432373046877,Cathay Pacific,0293.HK,3.794371769565963,100.47393248800776,,2015,1,2015-01
2015-01-08,11.091463088989258,Cathay Pacific,0293.HK,1.2971514056929978,101.77723151563096,,2015,1,2015-01
2015-01-09,11.414266586303713,Cathay Pacific,0293.HK,2.9103779611808767,104.73933363116193,,2015,1,2015-01
2015-01-12,11.285144805908203,Cathay Pacific,0293.HK,-1.1312315111901006,103.5544892845157,,2015,1,2015-01
2015-01-13,11.323880195617676,Cathay Pacific,0293.HK,0.34324229219631075,103.90993208720806,,2015,1,2015-01
2015-01-14,11.453001976013184,Cathay Pacific,0293.HK,1.140260919092717,105.09477643385428,,2015,1,2015-01
2015-01-15,11.401354789733888,Cathay Pacific,0293.HK,-0.4509488987032739,104.62085269693114,,2015,1,2015-01
2015-01-16,11.233497619628906,Cathay Pacific,0293.HK,-1.4722563519918297,103.08056554759256,,2015,1,2015-01
2015-01-19,10.923608779907228,Cathay Pacific,0293.HK,-2.7586140151059646,100.23697061954617,,2015,1,2015-01
2015-01-20,10.949432373046877,Cathay Pacific,0293.HK,0.23640166596909928,100.47393248800776,,2015,1,2015-01
2015-01-21,11.104377746582031,Cathay Pacific,0293.HK,1.4150995983734038,101.89573870311553,,2015,1,2015-01
2015-01-22,11.143112182617188,Cathay Pacific,0293.HK,0.34882131101023894,102.25117275472329,,2015,1,2015-01
2015-01-23,11.801630020141602,Cathay Pacific,0293.HK,5.909640204032729,108.29384916893136,,2015,1,2015-01
2015-01-26,11.698331832885742,Cathay Pacific,0293.HK,-0.8752874567289681,107.34596669074674,,2015,1,2015-01
2015-01-27,11.569211959838867,Cathay Pacific,0293.HK,-1.1037460288474632,106.16113984626969,,2015,1,2015-01
2015-01-28,11.5950345993042,Cathay Pacific,0293.HK,0.223201368900261,106.39809296364669,,2015,1,2015-01
2015-01-29,11.620859146118164,Cathay Pacific,0293.HK,0.22272073957860794,106.63506358319283,,2015,1,2015-01
2015-01-30,11.685419082641602,Cathay Pacific,0293.HK,0.555552181742125,107.22747700543135,,2015,1,2015-01
2015-02-02,11.60794734954834,Cathay Pacific,0293.HK,-0.6629777892035005,106.51658264896207,,2015,2,2015-02
2015-02-03,11.181846618652344,Cathay Pacific,0293.HK,-3.6707672602647956,102.60660680633107,,2015,2,2015-02
2015-02-04,11.22058391571045,Cathay Pacific,0293.HK,0.3464302308841205,102.9620671111926,,2015,2,2015-02
2015-02-05,11.259321212768556,Cathay Pacific,0293.HK,0.3452342351262905,103.31752741605413,,2015,2,2015-02
2015-02-06,11.20767307281494,Cathay Pacific,0293.HK,-0.45871450842920325,102.84359492804637,,2015,2,2015-02
2015-02-09,11.03981590270996,Cathay Pacific,0293.HK,-1.4976986660338198,101.30330777870779,,2015,2,2015-02
2015-02-10,11.052727699279783,Cathay Pacific,0293.HK,0.11695662938233653,101.42178871293859,,2015,2,2015-02
2015-02-11,11.259321212768556,Cathay Pacific,0293.HK,1.8691631523884755,103.31752741605413,,2015,2,2015-02
2015-02-12,11.03981590270996,Cathay Pacific,0293.HK,-1.9495430133893765,101.30330777870779,,2015,2,2015-02
2015-02-13,11.104377746582031,Cathay Pacific,0293.HK,0.5848090624067659,101.89573870311553,1.9635120323273623,2015,2,2015-02
2015-02-16,11.026904106140137,Cathay Pacific,0293.HK,-0.6976855633872958,101.18482684447703,1.8628201989768924,2015,2,2015-02
2015-02-17,11.052727699279783,Cathay Pacific,0293.HK,0.23418715616894126,101.42178871293859,1.862836938856244,2015,2,2015-02
2015-02-18,11.091463088989258,Cathay Pacific,0293.HK,0.3504600019414106,101.77723151563096,1.733548833238377,2015,2,2015-02
2015-02-23,11.001080513000488,Cathay Pacific,0293.HK,-0.8148841614817659,100.94786497601547,1.7243240906317117,2015,2,2015-02
2015-02-24,11.026904106140137,Cathay Pacific,0293.HK,0.23473687979223,101.18482684447703,1.6347708132709229,2015,2,2015-02
2015-02-25,11.07855224609375,Cathay Pacific,0293.HK,0.46838296095141896,101.65875933248476,1.6261156690136709,2015,2,2015-02
2015-02-26,11.181846618652344,Cathay Pacific,0293.HK,0.9323815085586995,102.60660680633107,1.63455059258069,2015,2,2015-02
2015-02-27,11.233497619628906,Cathay Pacific,0293.HK,0.4619183462095,103.08056554759256,1.6224610114656575,2015,2,2015-02
2015-03-02,11.194762229919434,Cathay Pacific,0293.HK,-0.34482038471961296,102.7251227449002,1.6216764351743163,2015,3,2015-03
2015-03-03,11.117289543151855,Cathay Pacific,0293.HK,-0.6920440575372111,102.01421963734629,1.604216015971835,2015,3,2015-03
2015-03-04,11.013992309570312,Cathay Pacific,0293.HK,-0.9291584354315319,101.06634591024626,1.5296537988294965,2015,3,2015-03
2015-03-05,10.807398796081545,Cathay Pacific,0293.HK,-1.8757368598237845,99.17060720713074,1.568354571570665,2015,3,2015-03
2015-03-06,10.75575065612793,Cathay Pacific,0293.HK,-0.4778961240177515,98.696674719123,1.5460568422771235,2015,3,2015-03
2015-03-09,10.574981689453123,Cathay Pacific,0293.HK,-1.6806727159653478,97.03790663555363,1.5701860055587609,2015,3,2015-03
2015-03-10,10.549158096313477,Cathay Pacific,0293.HK,-0.24419515700345729,96.80094476709206,1.0727366063643091,2015,3,2015-03
2015-03-11,10.574981689453123,Cathay Pacific,0293.HK,0.24479292948194065,97.03790663555363,1.0739507575101976,2015,3,2015-03
2015-03-12,10.639540672302246,Cathay Pacific,0293.HK,0.6104878925087043,97.63031130670757,1.076980398531942,2015,3,2015-03
2015-03-13,10.71701431274414,Cathay Pacific,0293.HK,0.7281671533394318,98.34122316534607,1.0888861418853544,2015,3,2015-03
2015-03-16,10.768662452697754,Cathay Pacific,0293.HK,0.48192657438363984,98.8151556533538,1.0938357109706647,2015,3,2015-03
2015-03-17,11.001080513000488,Cathay Pacific,0293.HK,2.158281600186185,100.94786497601547,1.1708492525230427,2015,3,2015-03
2015-03-18,10.936518669128418,Cathay Pacific,0293.HK,-0.5868682062255104,100.35543405160776,1.1698807245819227,2015,3,2015-03
2015-03-19,11.026904106140137,Cathay Pacific,0293.HK,0.8264552893496147,101.18482684447703,0.9817117516939969,2015,3,2015-03
2015-03-20,11.362618446350098,Cathay Pacific,0293.HK,3.0445022191044835,104.2654011431542,1.1307774669094677,2015,3,2015-03
2015-03-23,11.349705696105955,Cathay Pacific,0293.HK,-0.11364238186041264,104.14691145783878,1.1297226293399865,2015,3,2015-03
2015-03-24,11.465914726257324,Cathay Pacific,0293.HK,1.0238946565040985,105.21326611916963,1.1398628110313718,2015,3,2015-03
2015-03-25,11.414266586303713,Cathay Pacific,0293.HK,-0.450449363933747,104.73933363116193,1.1053219455873766,2015,3,2015-03
2015-03-26,11.362618446350098,Cathay Pacific,0293.HK,-0.4524875914111659,104.2654011431542,1.1102037257324218,2015,3,2015-03
2015-03-27,11.453001976013184,Cathay Pacific,0293.HK,0.7954463145078972,105.09477643385428,1.0676322510354195,2015,3,2015-03
2015-03-30,11.478825569152832,Cathay Pacific,0293.HK,0.22547444935163696,105.33173830231584,0.9978682517833809,2015,3,2015-03
2015-03-31,11.582122802734377,Cathay Pacific,0293.HK,0.8998937474852475,106.27961202941592,1.00440416963417,2015,3,2015-03
2015-04-01,11.969484329223633,Cathay Pacific,0293.HK,3.344477805034196,109.83411006501618,1.148236788897976,2015,4,2015-04
2015-04-02,11.982397079467772,Cathay Pacific,0293.HK,0.10788058941362255,109.95259975033153,1.1486424346438473,2015,4,2015-04
2015-04-08,12.335976600646973,Cathay Pacific,0293.HK,2.9508246040775177,113.1971081165872,1.2482583839912962,2015,4,2015-04
2015-04-09,12.58479118347168,Cathay Pacific,0293.HK,2.01698325863926,115.48027483656256,1.2631337004323981,2015,4,2015-04
2015-04-10,12.663366317749023,Cathay Pacific,0293.HK,0.6243658168960442,116.20129419789966,1.2627729923175435,2015,4,2015-04
2015-04-13,12.728841781616213,Cathay Pacific,0293.HK,0.5170462752500438,116.80210866134225,1.262802162193692,2015,4,2015-04
2015-04-14,12.70265007019043,Cathay Pacific,0293.HK,-0.20576665084808266,116.56176887422984,1.2655743944302522,2015,4,2015-04
2015-04-15,12.833605766296388,Cathay Pacific,0293.HK,1.0309320919835052,117.76344155653793,1.270268068402524,2015,4,2015-04
2015-04-16,12.650267601013184,Cathay Pacific,0293.HK,-1.4285787534839778,116.0810980510897,1.3085614376885808,2015,4,2015-04
2015-04-17,12.820511817932127,Cathay Pacific,0293.HK,1.3457756174684254,117.6432891651509,1.3019085160022053,2015,4,2015-04
2015-04-20,12.676459312438965,Cathay Pacific,0293.HK,-1.123609630714395,116.32143783820209,1.3096498204547626,2015,4,2015-04
2015-04-21,12.78122329711914,Cathay Pacific,0293.HK,0.8264451618392732,117.28277073339777,1.2328639795495224,2015,4,2015-04
2015-04-22,13.082419395446776,Cathay Pacific,0293.HK,2.3565514139442634,120.04659952542866,1.2582950944536841,2015,4,2015-04
2015-04-23,13.095518112182615,Cathay Pacific,0293.HK,0.10012457436121558,120.1667956722386,1.183741416905788,2015,4,2015-04
2015-04-24,13.22647190093994,Cathay Pacific,0293.HK,0.9999893676257088,121.3684508523775,1.1704496254347312,2015,4,2015-04
2015-04-27,13.390164375305176,Cathay Pacific,0293.HK,1.2376125363680934,122.87052201532227,1.169318441564339,2015,4,2015-04
2015-04-28,13.095518112182615,Cathay Pacific,0293.HK,-2.2004678573323666,120.1667956722386,1.2910188400759408,2015,4,2015-04
2015-04-29,13.056229591369627,Cathay Pacific,0293.HK,-0.3000150164080839,119.80627724048547,1.3039029251929817,2015,4,2015-04
2015-04-30,13.082419395446776,Cathay Pacific,0293.HK,0.2005923983939395,120.04659952542866,1.306300044156646,2015,4,2015-04
2015-05-04,12.820511817932127,Cathay Pacific,0293.HK,-2.0019812054473896,117.6432891651509,1.3613214345795461,2015,5,2015-05
2015-05-05,12.62407684326172,Cathay Pacific,0293.HK,-1.532192922248643,115.84076701506194,1.3982742386276115,2015,5,2015-05
2015-05-06,12.453835487365724,Cathay Pacific,0293.HK,-1.3485449907322478,114.27860215425451,1.4360433388891147,2015,5,2015-05
2015-05-07,12.375263214111328,Cathay Pacific,0293.HK,-0.6309082317179082,113.55760904617117,1.3588003403291502,2015,5,2015-05
2015-05-08,12.807414054870604,Cathay Pacific,0293.HK,3.492053730756206,117.52310176942554,1.4759317521377908,2015,5,2015-05
2015-05-11,12.610981941223145,Cathay Pacific,0293.HK,-1.5337375117716046,115.72060587259034,1.5128957658434055,2015,5,2015-05
2015-05-12,12.715746879577637,Cathay Pacific,0293.HK,0.8307437029311249,116.68194751887061,1.5082163492774707,2015,5,2015-05
2015-05-13,12.70265007019043,Cathay Pacific,0293.HK,-0.10299677644765026,116.56176887422984,1.5029729401002483,2015,5,2015-05
2015-05-14,12.977657318115234,Cathay Pacific,0293.HK,2.164959645469322,119.08528413240217,1.5363553875785876,2015,5,2015-05
2015-05-15,13.069326400756836,Cathay Pacific,0293.HK,0.7063607891205637,119.92645588512627,1.5366694963232184,2015,5,2015-05
2015-05-18,12.977657318115234,Cathay Pacific,0293.HK,-0.7014063298342088,119.08528413240217,1.5480859651163095,2015,5,2015-05
2015-05-19,12.964560508728027,Cathay Pacific,0293.HK,-0.10091813234215374,118.96510548776138,1.4458847547439446,2015,5,2015-05
2015-05-20,12.990753173828123,Cathay Pacific,0293.HK,0.2020328038305763,119.20545402595832,1.4456080548282606,2015,5,2015-05
2015-05-21,13.043135643005373,Cathay Pacific,0293.HK,0.4032288850101651,119.6861248490985,1.3552951545995813,2015,5,2015-05
2015-05-22,13.291948318481444,Cathay Pacific,0293.HK,1.9076139533172887,121.96927406690466,1.3503627830587623,2015,5,2015-05
2015-05-26,13.455643653869627,Cathay Pacific,0293.HK,1.231537555412987,123.47137148310317,1.3615827363860065,2015,5,2015-05
